Rank,Zip Code,Location,County,State,Median Sale Price 2022
1,94027,Atherton,San Mateo County,CA,7900000
2,11962,Sagaponack,Suffolk County,NY,5750000
3,94957,Ross,Marin County,CA,5500000
4,33109,Miami Beach,Miami-Dade County,FL,5200000
5,90210,Beverly Hills,Los Angeles County,CA,5122000
6,98039,Medina,King County,WA,4750000
7,90402,Santa Monica,Los Angeles County,CA,4400000
8,93108,Santa Barbara,Santa Barbara County,CA,4300000
9,92661,Newport Beach,Orange County,CA,4293000
10,92067,Rancho Santa Fe,San Diego County,CA,4275000
11,94022,Los Altos,Santa Clara County,CA,4250000
12,94028,Portola Valley,San Mateo County,CA,4125000
13,94024,Los Altos,Santa Clara County,CA,4100000
13,92662,Newport Beach,Orange County,CA,4100000
14,92657,Newport Beach,Orange County,CA,3925000
15,90272,Los Angeles,Los Angeles County,CA,3813000
16,10013,New York City,New York County,NY,3795000
17,92625,Corona Del Mar,Orange County,CA,3705000
18,11976,Water Mill,Suffolk County,NY,3699000
19,95070,Saratoga,Santa Clara County,CA,3638000
20,94301,Palo Alto,Santa Clara County,CA,3600000
21,94970,Stinson Beach,Marin County,CA,3530000
22,94010,Hillsborough/Burlingame ,San Mateo County,CA,3525000
22,11930,Amagansett,Suffolk County,NY,3525000
23,90265,Malibu,Los Angeles County,CA,3500000
24,94528,Diablo,Contra Costa County,CA,3400000
25,11932,Bridgehampton,Suffolk County,NY,3300000
25,90077,Los Angeles,Los Angeles County,CA,3300000
26,93953,Pebble Beach,Monterey County,CA,3280000
27,02199,Boston,Suffolk County,MA,3245000
28,95030,Los Gatos,Santa Clara County,CA,3213000
29,10282,New York City,New York County,NY,3130000
30,94306,Palo Alto,Santa Clara County,CA,3099000
31,89413,Glenbrook,Douglas County,NV,3075000
32,94920,Belvedere Tiburon,Marin County,CA,3009000
33,90266,Manhattan Beach,Los Angeles County,CA,2940000
34,92651,Laguna Beach,Orange County,CA,2900000
34,85253,Paradise Valley,Maricopa County,AZ,2900000
35,11975,Wainscott,Suffolk County,NY,2870000
36,11959,Quogue,Suffolk County,NY,2813000
37,10007,New York City,New York County,NY,2775000
38,94062,Redwood City,San Mateo County,CA,2750000
39,94025,Menlo Park,San Mateo County,CA,2700000
40,93921,Carmel By The Sea,Monterey County,CA,2688000
41,94507,Alamo,Contra Costa County,CA,2650000
41,03871,Rye Beach,Rockingham County,NH,2650000
42,92660,Newport Beach,Orange County,CA,2640000
43,91108,San Marino,Los Angeles County,CA,2629000
44,92014, Del Mar,San Diego County,CA,2570000
45,91008,Bradbury,Los Angeles County,CA,2550000
46,02554,Nantucket,Nantucket County,MA,2538000
47,91436,Encino,Los Angeles County,CA,2525000
48,90274,Rolling Hills,Los Angeles County,CA,2513000
49,11568,Old Westbury,Nassau County,NY,2508000
50,94087,Sunnyvale,Santa Clara County,CA,2503000
51,95014,Cupertino,Santa Clara County,CA,2483000
52,90049,Los Angeles,Los Angeles County,CA,2412000
53,92663,Newport Beach,Orange County,CA,2400000
54,94402,San Mateo,San Mateo County,CA,2367000
55,94040,Mountain View,Santa Clara County,CA,2365000
56,91011,La Canada Flintridge,Los Angeles County,CA,2360000
57,90742,Huntington Beach,Orange County,CA,2333000
58,02535,Chilmark,Dukes County,MA,2300000
58,94123,San Francisco,San Francisco County,CA,2300000
58,94002,Belmont,San Mateo County,CA,2300000
58,07723,Deal,Monmouth County,NJ,2300000
59,98040,Mercer Island,King County,WA,2280000
60,94939,Larkspur,Marin County,CA,2260000
61,94070,San Carlos,San Mateo County,CA,2250000
61,92118,Coronado,San Diego County,CA,2250000
62,95032,Los Gatos,Santa Clara County,CA,2240000
63,92037,La Jolla,San Diego County,CA,2200000
63,94506,Danville,Contra Costa County,CA,2200000
63,90291,Venice,Los Angeles County,CA,2200000
64,02493,Weston,Middlesex County,MA,2198000
65,93923,Carmel,Monterey County,CA,2195000
66,07620,Alpine,Bergen County,NJ,2180000
67,90212,Beverly Hills,Los Angeles County,CA,2165000
68,94041,Mountain View,Santa Clara County,CA,2150000
68,90211,Beverly Hills,Los Angeles County,CA,2150000
69,93920,Big Sur,Monterey County,CA,2138000
70,95120,San Jose,Santa Clara County,CA,2130000
71,10012,New York City,New York County,NY,2125000
71,94127,San Francisco,San Francisco County,CA,2125000
72,90254,Hermosa Beach,Los Angeles County,CA,2116000
73,95129,San Jose,Santa Clara County,CA,2100000
73,90036,Los Angeles,Los Angeles County,CA,2100000
74,02481,Wellesley Hills,Norfolk County,MA,2055000
75,10069,New York City,New York County,NY,2050000
75,92861,Villa Park,Orange County,CA,2050000
76,94941,Mill Valley,Marin County,CA,2040000
77,94118,San Francisco,San Francisco County,CA,2018000
78,94549,Lafayette,Contra Costa County,CA,2017000
79,94904,Greenbrae,Marin County,CA,2015000
79,94030,Millbrae,San Mateo County,CA,2015000
80,02468,Waban,Middlesex County,MA,2014000
81,95130,San Jose,Santa Clara County,CA,2005000
82,93109,Santa Barbara,Santa Barbara County,CA,2000000
82,11954,Montauk,Suffolk County,NY,2000000
82,08202,Avalon,Cape May County,NJ,2000000
82,94563,Orinda,Contra Costa County,CA,2000000
83,94705,Berkeley,Alameda County,CA,1975000
84,93110,Santa Barbara,Santa Barbara County,CA,1963000
85,93067,Summerland,Santa Barbara County,CA,1950000
85,90048,Los Angeles,Los Angeles County,CA,1950000
86,92603,Irvine,Orange County,CA,1925000
87,94061,Redwood City,San Mateo County,CA,1905000
87,10001,New York City,New York County,NY,1905000
88,11968,Southampton,Suffolk County,NY,1900000
88,98004,Bellevue,King County,WA,1900000
89,10580,Rye,Westchester County,NY,1873000
90,98075,Sammamish,King County,WA,1869000
91,11963,Sag Harbor,Suffolk County,NY,1865000
92,94526,Danville,Contra Costa County,CA,1850000
92,06830,Greenwich,Fairfield County,CT,1850000
93,90232,Culver City,Los Angeles County,CA,1846000
94,93105,Santa Barbara,Santa Barbara County,CA,1828000
95,90027,Los Angeles,Los Angeles County,CA,1825000
95,07078,Short Hills,Essex County,NJ,1825000
96,94114,San Francisco,San Francisco County,CA,1824000
97,91302,Calabasas,Los Angeles County,CA,1816000
98,94925,Corte Madera,Marin County,CA,1811000
99,06878,Riverside,Fairfield County,CT,1800000
99,94708,Berkeley,Alameda County,CA,1800000
99,94131,San Francisco,San Francisco County,CA,1800000
99,94965,Sausalito,Marin County,CA,1800000
100,06870,Old Greenwich,Fairfield County,CT,1780000
100,94707,Berkeley,Alameda County,CA,1780000